AAPL
NVDA
MSFT
GOOGL
AMZN
META
BRK-B
TSLA
LLY
AVGO
WMT
JPM
V
UNH
XOM
NVO
ORCL
MA
PG
HD
COST
JNJ
ABBV
NFLX
BAC
KO
CRM
SAP
ASML
CVX
MRK
TMUS
AMD
PEP
AZN
WFC
CSCO
LIN
NVS
ACN
MCD
ADBE
TMO
PM
BX
SHEL
ABT
NOW
IBM
AXP
MS
GE
TXN
CAT
QCOM
ISRG
DHR
VZ
DIS
AMGN
RY
INTU
CMCSA
HSBC
GS
NEE
PFE
T
RTX
BKNG
UL
SPGI
LOW
UBER
AMAT
PGR
TTE
UNP
BHP
SYK
SNY
HON
ETN
SCHW
LMT
TJX
KKR
COP
BSX
VRTX
C
ANET
BUD
ADP
PANW
UPS
MDT
CB
NKE
FI
BMY
DE
GILD
SBUX
ADI
MU
BA
MMC
RIO
PLD
MELI
SO
AMT
SHOP
UBS
TD
ELV
LRCX
MO
HCA
PLTR
INTC
MDLZ
REGN
SHW
CI
ICE
DUK
KLAC
ENB
DELL
RELX
RACE
WM
EQIX
SCCO
WELL
ABNB
PBR
CTAS
TT
MCO
CEG
APO
ZTS
CME
PH
GD
APH
BN
AON
PYPL
SNPS
ITW
BP
BTI
CL
SPOT
CMG
GSK
CDNS
USB
MSI
PNC
SAN
NOC
TRI
MAR
TDG
CRWD
CP
CNQ
CVS
DEO
ECL
MMM
APD
TGT
EOG
MRVL
CNI
BDX
FDX
ORLY
BMO
GLD
CSX
MCK
CARR
CRH
DASH
EQNR
FCX
IBKR
WMB
SPG
BNS
WDAY
COF
RSG
EPD
AJG
EMR
ADSK
DLR
FTNT
CM
NXPI
TTD
AFL
PSA
ROP
TFC
HLT
NSC
BBVA
OKE
SLB
TRV
APP
GM
ET
RCL
MET
BK
DHI
GWW
PCAR
KMI
ING
SRE
PCG
URI
ARES
AEP
O
MNST
NEM
FANG
MFC
AZO
JCI
PSX
PAYX
D
IAU
AMP
ALL
CPRT
TEAM
MSTR
FIS
AIG
FICO
MPC
TRP
SU
CCI
CHTR
LHX
OXY
ROST
COIN
WCN
LEN
CPNG
ALC
MPLX
COR
MSCI
FAST
CMI
BCS
KMB
KDP
PEG
PWR
SQ
TEL
PRU
HLN
ODFL
AEM
LNG
LYG
NDAQ
VST
STZ
AME
CTVA
DDOG
TCOM
HES
GLW
VLO
F
KHC
HWM
VRT
EW
KR
CBRE
GEHC
NWG
IMO
EA
EXC
OTIS
STLA
VRSK
IR
MCHP
IT
GBTC
SNOW
GRMN
GIS
ACGL
IQV
DFS
XEL
LVS
CTSH
BKR
A
DAL
YUM
SYY
IRM
EXR
LULU
TRGP
VMC
MLM
MPWR
HSY
CCEP
ED
BSBR
RMD
ARGX
ABEV
DD
ALNY
DOW
HPQ
GOLD
NUE
VEEV
IDXX
VICI
RBLX
DB
ETR
OWL
EFX
MTB
WAB
HIG
EIX
RKT
SLF
AXON
BIDU
QSR
